都道府県,緯度,経度,拡大率
北海道,43.06417,141.34694,8
青森県,40.82444,140.74,10
岩手県,39.70361,141.1525,9
宮城県,38.26889,140.87194,10
秋田県,39.71861,140.1025,9
山形県,38.24056,140.36333,9
福島県,37.75,140.46778,9
茨城県,36.34139,140.44667,9
栃木県,36.56583,139.88361,10
群馬県,36.39111,139.06083,10
埼玉県,35.85694,139.64889,10
千葉県,35.60472,140.12333,9
東京都,35.68944,139.69167,10
神奈川県,35.44778,139.6425,10
新潟県,37.90222,139.02361,9
富山県,36.69528,137.21139,11
石川県,36.59444,136.62556,11
福井県,36.06528,136.22194,10
山梨県,35.66389,138.56833,10
長野県,36.65139,138.18111,9
岐阜県,35.39111,136.72222,9
静岡県,34.97694,138.38306,10
愛知県,35.18028,136.90667,10
三重県,34.73028,136.50861,10
滋賀県,35.00444,135.86833,10
京都府,35.02139,135.75556,10
大阪府,34.68639,135.52,10
兵庫県,34.69139,135.18306,10
奈良県,34.68528,135.83278,11
和歌山県,34.22611,135.1675,10
鳥取県,35.50361,134.23833,9
島根県,35.47222,133.05056,11
岡山県,34.66167,133.935,11
広島県,34.39639,132.45944,9
山口県,34.18583,131.47139,10
徳島県,34.06583,134.55944,12
香川県,34.34028,134.04333,11
愛媛県,33.84167,132.76611,10
高知県,33.55972,133.53111,14
福岡県,33.60639,130.41806,9
佐賀県,33.24944,130.29889,11
長崎県,32.74472,129.87361,10
熊本県,32.78972,130.74167,10
大分県,33.23806,131.6125,12
宮崎県,31.91111,131.42389,9
鹿児島県,31.56028,130.55806,11
沖縄県,26.2125,127.68111,10
